B_scale,trial,seed,algorithm,shd,cpdag_shd,mec_match,precision,recall,f1,n_edges_true,n_edges_est,n_epochs_run,runtime_sec
0.1,1,89250953,CD_A,27,41.0,0,0.0,0.0,0.0,27,0,199,6.190947299823165
0.1,1,89250953,CD_BOmega,17,10.0,0,0.6923076923076923,0.6666666666666666,0.6792452830188679,27,26,199,85.52920959983021
0.1,2,773956048,CD_A,31,47.0,0,0.0,0.0,0.0,30,1,199,6.4541321999859065
0.1,2,773956048,CD_BOmega,37,29.0,0,0.3939393939393939,0.43333333333333335,0.4126984126984127,30,33,199,72.34583549993113
0.1,3,654571518,CD_A,31,57.0,0,0.0,0.0,0.0,31,0,199,5.367269699927419
0.1,3,654571518,CD_BOmega,25,26.0,0,0.5882352941176471,0.6451612903225806,0.6153846153846154,31,34,199,70.45771810016595
0.1,4,438878439,CD_A,33,50.0,0,0.0,0.0,0.0,33,0,199,5.8231905999127775
0.1,4,438878439,CD_BOmega,45,32.0,0,0.34210526315789475,0.3939393939393939,0.3661971830985915,33,38,199,73.80288530001417
0.1,5,433015235,CD_A,24,41.0,0,0.0,0.0,0.0,24,0,199,6.227152799954638
0.1,5,433015235,CD_BOmega,23,13.0,0,0.5217391304347826,0.5,0.5106382978723404,24,23,199,71.75541139999405
0.5,1,89250953,CD_A,22,20.0,0,0.631578947368421,0.4444444444444444,0.5217391304347826,27,19,199,7.668866500025615
0.5,1,89250953,CD_BOmega,22,15.0,0,0.5757575757575758,0.7037037037037037,0.6333333333333334,27,33,199,70.1577088998165
0.5,2,773956048,CD_A,7,7.0,0,0.9259259259259259,0.8333333333333334,0.8771929824561403,30,27,199,7.292183900019154
0.5,2,773956048,CD_BOmega,36,79.0,0,0.4423076923076923,0.7666666666666667,0.5609756097560975,30,52,199,67.42837650002912
0.5,3,654571518,CD_A,22,17.0,0,0.6451612903225806,0.6451612903225806,0.6451612903225806,31,31,199,8.146433100104332
0.5,3,654571518,CD_BOmega,19,25.0,0,0.65,0.8387096774193549,0.7323943661971831,31,40,199,69.8518668001052
0.5,4,438878439,CD_A,16,27.0,0,0.7428571428571429,0.7878787878787878,0.7647058823529412,33,35,199,8.215588900027797
0.5,4,438878439,CD_BOmega,56,85.0,0,0.3424657534246575,0.7575757575757576,0.4716981132075472,33,73,199,69.69150940002874
0.5,5,433015235,CD_A,11,16.0,0,0.8823529411764706,0.625,0.7317073170731708,24,17,199,6.478266200050712
0.5,5,433015235,CD_BOmega,5,2.0,0,0.88,0.9166666666666666,0.8979591836734694,24,25,199,68.74398629995994
1.0,1,89250953,CD_A,32,37.0,0,0.41935483870967744,0.48148148148148145,0.4482758620689655,27,31,199,7.501553599955514
1.0,1,89250953,CD_BOmega,22,27.0,0,0.5609756097560976,0.8518518518518519,0.6764705882352942,27,41,199,71.01934970007278
1.0,2,773956048,CD_A,41,63.0,0,0.37209302325581395,0.5333333333333333,0.4383561643835616,30,43,199,8.941556100035086
1.0,2,773956048,CD_BOmega,23,35.0,0,0.5853658536585366,0.8,0.676056338028169,30,41,199,73.49309180001728
1.0,3,654571518,CD_A,41,87.0,0,0.391304347826087,0.5806451612903226,0.4675324675324675,31,46,199,9.58910039998591
1.0,3,654571518,CD_BOmega,32,61.0,0,0.4897959183673469,0.7741935483870968,0.6,31,49,199,74.1345708000008
1.0,4,438878439,CD_A,44,72.0,0,0.3829787234042553,0.5454545454545454,0.44999999999999996,33,47,199,11.707780099939555
1.0,4,438878439,CD_BOmega,21,59.0,0,0.6304347826086957,0.8787878787878788,0.7341772151898734,33,46,199,77.01797579997219
1.0,5,433015235,CD_A,15,30.0,0,0.6551724137931034,0.7916666666666666,0.7169811320754716,24,29,199,8.836473200004548
1.0,5,433015235,CD_BOmega,14,38.0,0,0.6470588235294118,0.9166666666666666,0.7586206896551724,24,34,199,73.4171264001634
2.0,1,89250953,CD_A,49,72.0,0,0.25,0.4074074074074074,0.30985915492957744,27,44,222,10.429601300042123
2.0,1,89250953,CD_BOmega,12,24.0,0,0.7027027027027027,0.9629629629629629,0.8125,27,37,199,77.85561359999701
2.0,2,773956048,CD_A,34,49.0,0,0.45,0.6,0.5142857142857143,30,40,285,14.999314799904823
2.0,2,773956048,CD_BOmega,41,113.0,0,0.4126984126984127,0.8666666666666667,0.5591397849462365,30,63,303,135.27202660008334
2.0,3,654571518,CD_A,52,106.0,0,0.2765957446808511,0.41935483870967744,0.3333333333333333,31,47,500,31.30553809995763
2.0,3,654571518,CD_BOmega,64,272.0,0,0.31868131868131866,0.9354838709677419,0.47540983606557374,31,91,436,187.95120589993894
2.0,4,438878439,CD_A,56,95.0,0,0.27450980392156865,0.42424242424242425,0.33333333333333337,33,51,338,19.614415700081736
2.0,4,438878439,CD_BOmega,96,498.0,0,0.22123893805309736,0.7575757575757576,0.3424657534246575,33,113,500,185.1642485000193
2.0,5,433015235,CD_A,23,34.0,0,0.5161290322580645,0.6666666666666666,0.5818181818181819,24,31,199,8.987285200040787
2.0,5,433015235,CD_BOmega,20,80.0,0,0.55,0.9166666666666666,0.6874999999999999,24,40,317,120.20506959990598
5.0,1,89250953,CD_A,40,81.0,0,0.3488372093023256,0.5555555555555556,0.4285714285714286,27,43,367,19.956312999827787
5.0,1,89250953,CD_BOmega,63,281.0,0,0.29545454545454547,0.9629629629629629,0.4521739130434782,27,88,500,190.85739559982903
5.0,2,773956048,CD_A,48,115.0,0,0.3125,0.5,0.38461538461538464,30,48,500,28.70063310000114
5.0,2,773956048,CD_BOmega,82,477.0,0,0.25925925925925924,0.9333333333333333,0.40579710144927533,30,108,500,193.72672950010747
5.0,3,654571518,CD_A,52,129.0,0,0.24390243902439024,0.3225806451612903,0.2777777777777778,31,41,500,27.817405099980533
5.0,3,654571518,CD_BOmega,86,780.0,0,0.24770642201834864,0.8709677419354839,0.38571428571428573,31,109,500,190.76733279996552
5.0,4,438878439,CD_A,73,209.0,0,0.21428571428571427,0.45454545454545453,0.2912621359223301,33,70,500,34.65648720017634
5.0,4,438878439,CD_BOmega,141,1118.0,0,0.1746987951807229,0.8787878787878788,0.2914572864321608,33,166,500,199.82833779999055
5.0,5,433015235,CD_A,25,36.0,0,0.4838709677419355,0.625,0.5454545454545454,24,31,315,14.769298099912703
5.0,5,433015235,CD_BOmega,72,508.0,0,0.24468085106382978,0.9583333333333334,0.3898305084745763,24,94,500,193.60662499978207
