repeat_id,seed,score,true_score,score_minus_true,is_in_markov_equic_class,is_in_markov_equiv_class,cpdag_shd,runtime_sec,n_epochs_run
0,10,7.544470174477555,7.5480081148037765,-0.0035379403262219,True,True,0.0,0.5013281999854371,59
1,11,7.467801931395423,7.472417372122161,-0.004615440726738029,True,True,0.0,0.5571676000254229,59
2,12,7.505153293791571,7.506074695537155,-0.0009214017455843049,True,True,0.0,0.5858993999427184,59
3,13,7.531785676310149,7.53419912203689,-0.002413445726740626,False,False,1.0,0.5601536000613123,59
4,14,7.4740467611956145,7.4746642210844225,-0.0006174598888080141,True,True,0.0,0.5607083000941202,59
5,15,7.502220229238796,7.4973921546973195,0.004828074541476823,False,False,2.0,0.5880656999070197,59
6,16,7.399820129739808,7.4042794340522615,-0.004459304312453227,True,True,0.0,0.529655999969691,59
7,17,7.51290273222999,7.51423067739996,-0.001327945169969702,True,True,0.0,0.5737725999206305,59
8,18,7.482460546824855,7.485038492777916,-0.0025779459530603788,True,True,0.0,0.5657667000778019,59
9,19,7.462822183123912,7.462490004697299,0.00033217842661237285,True,True,0.0,0.5435587000101805,59
10,20,7.502326817283576,7.504314657600238,-0.001987840316662215,True,True,0.0,0.5353185000130907,59
11,21,7.432710754117485,7.43638432148629,-0.0036735673688053083,True,True,0.0,0.5287567001068965,59
12,22,7.4028105779613345,7.407703873046909,-0.004893295085574678,True,True,0.0,0.5776466000825167,59
13,23,7.443831821971337,7.444705025881426,-0.0008732039100891598,True,True,0.0,0.5817996999248862,59
14,24,7.564552670001868,7.565223286516478,-0.0006706165146095344,True,True,0.0,0.5027898999396712,59
15,25,7.458504369164968,7.461203256100196,-0.0026988869352280176,True,True,0.0,0.5305506000295281,59
16,26,7.468671340123067,7.469042352803804,-0.00037101268073680416,True,True,0.0,0.49504259997047484,59
17,27,7.4805412072502735,7.47948854771718,0.0010526595330935251,True,True,0.0,0.4937303999904543,59
18,28,7.407179732004041,7.410096879577498,-0.0029171475734575125,True,True,0.0,0.5151208000024781,59
19,29,7.4466695182588865,7.448554368854769,-0.0018848505958821704,False,False,1.0,0.4846880999393761,59
20,30,7.421058973208552,7.423147729776563,-0.0020887565680105524,False,False,1.0,0.4844699000241235,59
21,31,7.5447573376273755,7.547292123689601,-0.002534786062225791,True,True,0.0,0.5143307000398636,59
22,32,7.500565276811534,7.5050457081155795,-0.004480431304045851,True,True,0.0,0.480351599981077,59
23,33,7.399555615796364,7.399669044014354,-0.00011342821799065206,True,True,0.0,0.4742018000688404,59
24,34,7.485368366176456,7.486240447597181,-0.000872081420725479,True,True,0.0,0.48365349997766316,59
25,35,7.389404585511451,7.393294082415775,-0.0038894969043239414,True,True,0.0,0.48632639995776117,59
26,36,7.461328272704459,7.462577618289156,-0.001249345584697359,True,True,0.0,0.48485400003846735,59
27,37,7.556989140587641,7.560323256136304,-0.0033341155486628082,True,True,0.0,0.528882100014016,59
28,38,7.53361717383433,7.534554492793077,-0.0009373189587478237,True,True,0.0,0.48906140006147325,59
29,39,7.442616013909166,7.444429682662049,-0.0018136687528826911,False,False,1.0,0.531005600001663,59
30,40,7.517851756631467,7.519868305680362,-0.002016549048894589,True,True,0.0,0.5288170999847353,59
31,41,7.511319632683796,7.5144743135011165,-0.003154680817320177,False,False,1.0,0.4887658000225201,59
32,42,7.5033850620693405,7.505584358684658,-0.002199296615317259,True,True,0.0,0.4744012999581173,59
33,43,7.51358407015632,7.516261223751082,-0.0026771535947620606,True,True,0.0,0.4912374000996351,59
34,44,7.522628358473595,7.525805604615298,-0.003177246141703449,True,True,0.0,0.531683300039731,59
35,45,7.494422164805868,7.497537077789021,-0.0031149129831531397,True,True,0.0,0.49757789995055646,59
36,46,7.437090751152285,7.437613688233149,-0.0005229370808645939,True,True,0.0,0.5043766999151558,59
37,47,7.4753790619800125,7.47628492733879,-0.000905865358777902,True,True,0.0,0.5925141000188887,59
38,48,7.5511046770414225,7.5549301878377335,-0.0038255107963109936,False,False,1.0,0.5076351000461727,59
39,49,7.47558749746398,7.479084890930789,-0.0034973934668087736,True,True,0.0,0.5126785999163985,59
40,50,7.422780221979746,7.427602218742797,-0.004821996763050507,True,True,0.0,0.5018723999382928,59
41,51,7.427800223136039,7.431690865824471,-0.003890642688432422,True,True,0.0,0.53628340002615,59
42,52,7.413933463509256,7.413975059552174,-4.1596042917646514e-05,True,True,0.0,0.5137038000393659,59
43,53,7.465305614152606,7.4675558370256425,-0.002250222873036556,True,True,0.0,0.5091452000197023,59
44,54,7.519821069660241,7.5131544927869385,0.006666576873302965,False,False,2.0,0.4887319999979809,59
45,55,7.557605511938201,7.554008125070016,0.003597386868184671,False,False,2.0,0.4939602999947965,59
46,56,7.511344614338869,7.50766392530376,0.003680689035109097,False,False,2.0,0.7413349999114871,59
47,57,7.438290510360311,7.439985142394779,-0.0016946320344679577,True,True,0.0,0.5608978000236675,59
48,58,7.558847176103181,7.554287409723186,0.004559766379995445,False,False,2.0,0.4981874000513926,59
49,59,7.443249465082069,7.440083494130118,0.003165970951950925,False,False,2.0,0.47914299997501075,59
50,60,7.426677891820914,7.427055271692627,-0.0003773798717130461,True,True,0.0,0.4982014999259263,59
51,61,7.4183012672007855,7.420708745037736,-0.002407477836950278,True,True,0.0,0.5742678999667987,59
52,62,7.339555857635174,7.340949672980946,-0.001393815345771543,False,False,2.0,0.4817437999881804,59
53,63,7.4565275132768685,7.458505859199386,-0.001978345922517555,True,True,0.0,0.5311495000496507,59
54,64,7.511283665597818,7.513012055353823,-0.0017283897560043116,True,True,0.0,0.5435775999212638,59
55,65,7.480054029965446,7.475089650993596,0.004964378971850536,False,False,2.0,0.4972700000507757,59
56,66,7.516572194036849,7.516625713788786,-5.3519751936903504e-05,True,True,0.0,0.4829700000118464,59
57,67,7.447628605814536,7.451623781594757,-0.00399517578022035,True,True,0.0,0.5120235000504181,59
58,68,7.5197613015443725,7.521827011666263,-0.002065710121890163,True,True,0.0,0.5033300999784842,59
59,69,7.47274688858992,7.471933155332826,0.0008137332570941069,True,True,0.0,0.5307871999684721,59
60,70,7.434339646146979,7.439111792124558,-0.004772145977579356,True,True,0.0,0.48600539995823056,59
61,71,7.4845144866648265,7.4886373792078516,-0.004122892543025003,True,True,0.0,0.5245178999612108,59
62,72,7.500361719268557,7.502078856381498,-0.0017171371129407476,True,True,0.0,0.6230683999601752,59
63,73,7.495067561419596,7.496391335211541,-0.0013237737919453707,True,True,0.0,0.49150159989949316,59
64,74,7.499559269979429,7.50180006132576,-0.00224079134633115,True,True,0.0,0.5358042999869213,59
65,75,7.499677683596966,7.500252670646653,-0.000574987049686726,True,True,0.0,0.5092319999821484,59
66,76,7.460034980002019,7.459641447152569,0.0003935328494506507,False,False,2.0,0.5194583999691531,59
67,77,7.433420751746249,7.435226066798823,-0.0018053150525734196,True,True,0.0,0.5220929000061005,59
68,78,7.514347995349965,7.516033571367535,-0.001685576017569801,True,True,0.0,0.481100199976936,59
69,79,7.492769215076431,7.49481116035655,-0.0020419452801183624,True,True,0.0,0.533967100083828,59
70,80,7.516784819392612,7.517871143058775,-0.0010863236661631248,True,True,0.0,0.49636210000608116,59
71,81,7.538059161105396,7.541881520865335,-0.0038223597599387205,True,True,0.0,0.5277695999247953,59
72,82,7.543054942684254,7.545381200276278,-0.0023262575920242057,True,True,0.0,0.5896029999712482,59
73,83,7.509862896713338,7.509857489716202,5.406997136248037e-06,True,True,0.0,0.5066885999403894,59
74,84,7.445134254698079,7.43873059210223,0.006403662595849013,False,False,2.0,0.5109890999738127,59
75,85,7.544342799409495,7.5436613917075,0.0006814077019949849,True,True,0.0,0.5367705000098795,59
76,86,7.502257654661706,7.507938085735278,-0.0056804310735714125,False,False,1.0,0.5045919999247417,59
77,87,7.460152563495325,7.459878120921568,0.0002744425737573053,True,True,0.0,0.5256044999696314,59
78,88,7.540156063278204,7.540875305184342,-0.000719241906137924,True,True,0.0,0.6597649999894202,59
79,89,7.428543978715404,7.432176173214845,-0.003632194499441077,True,True,0.0,0.5441533999983221,59
80,90,7.448762808713437,7.451123434593418,-0.002360625879981093,True,True,0.0,0.5540130999870598,59
81,91,7.438121686614066,7.440419031702707,-0.0022973450886407676,False,False,1.0,0.4873946999432519,59
82,92,7.492043626496287,7.493402296056381,-0.0013586695600942278,False,False,1.0,0.5217749000294134,59
83,93,7.494710166203779,7.497945538489656,-0.003235372285876892,False,False,1.0,0.5680354000069201,59
84,94,7.492423134630645,7.494868129728239,-0.002444995097594216,True,True,0.0,0.48580859997309744,59
85,95,7.461411624455335,7.465774433590424,-0.00436280913508913,True,True,0.0,0.514936999999918,59
86,96,7.468140863621285,7.469209882267146,-0.001069018645861064,True,True,0.0,0.5182228999910876,59
87,97,7.491666805952214,7.495610750128272,-0.003943944176057812,True,True,0.0,0.4690106000052765,59
88,98,7.502015130619112,7.506104760753729,-0.0040896301346169395,True,True,0.0,0.4838424000190571,59
89,99,7.463029713488373,7.466450325579965,-0.0034206120915918348,True,True,0.0,0.5979296000441536,59
90,100,7.456182265892378,7.458193211162408,-0.0020109452700296515,False,False,1.0,0.5110089000081643,59
91,101,7.531456918049157,7.533121730451883,-0.0016648124027263123,True,True,0.0,0.5079076999099925,59
92,102,7.365699476512875,7.368861164318464,-0.0031616878055888975,True,True,0.0,0.5168759999796748,59
93,103,7.374507244874561,7.3767813199798375,-0.0022740751052765518,True,True,0.0,0.5369479999644682,59
94,104,7.503403022971274,7.4987232206810965,0.004679802290177726,False,False,2.0,0.5410961000015959,59
95,105,7.462496893755814,7.461620432947827,0.0008764608079872005,True,True,0.0,0.5131332000019029,59
96,106,7.480951731989446,7.4823540857726805,-0.001402353783234389,True,True,0.0,0.5003355999942869,59
97,107,7.409799245821727,7.410374594094989,-0.0005753482732622217,True,True,0.0,0.48033090005628765,59
98,108,7.479087009845479,7.481272133390004,-0.002185123544524714,False,False,1.0,0.5192026000004262,59
99,109,7.467241151508633,7.4677273658767245,-0.0004862143680917086,True,True,0.0,0.623928000102751,59
100,110,7.439141579294331,7.43397316400573,0.005168415288601125,False,False,2.0,0.5300155999138951,59
101,111,7.420917078993543,7.423484350461267,-0.00256727146772473,True,True,0.0,0.49250169994775206,59
102,112,7.470529166892614,7.47447501196349,-0.0039458450708753645,True,True,0.0,0.49415020004380494,59
103,113,7.442417245079671,7.442603637125815,-0.00018639204614423477,True,True,0.0,0.5245587000390515,59
104,114,7.518599184579848,7.520846291989633,-0.002247107409784732,True,True,0.0,0.49722150003071874,59
105,115,7.4449704004369535,7.4512884379696995,-0.006318037532746068,True,True,0.0,0.5317039999645203,59
106,116,7.570756838098221,7.574911103771342,-0.004154265673120605,True,True,0.0,0.49052379990462214,59
107,117,7.502483144757386,7.5039717156537336,-0.001488570896347241,True,True,0.0,0.5324587000068277,59
108,118,7.411752501361068,7.415959379790236,-0.00420687842916756,True,True,0.0,0.4669652000302449,59
109,119,7.457540560502434,7.462458319613392,-0.004917759110957931,True,True,0.0,0.5122576999710873,59
110,120,7.497218630592016,7.497831054668245,-0.0006124240762286348,True,True,0.0,0.6256170000415295,59
111,121,7.489871443419436,7.493351402251246,-0.0034799588318099595,True,True,0.0,0.4897510999580845,59
112,122,7.415831797468819,7.417503352879372,-0.0016715554105530828,True,True,0.0,0.48023969994392246,59
113,123,7.488577615236516,7.490997942987846,-0.0024203277513299426,True,True,0.0,0.4814726000186056,59
114,124,7.454817429655197,7.456993428500892,-0.002175998845695304,True,True,0.0,0.578269200050272,59
115,125,7.505485002489348,7.507963691747662,-0.002478689258314404,True,True,0.0,0.5465074999956414,59
116,126,7.5231140839478465,7.52460139129507,-0.0014873073472232434,True,True,0.0,0.49018470000009984,59
117,127,7.410186948503614,7.412519638036857,-0.0023326895332429487,True,True,0.0,0.48179510002955794,59
118,128,7.467141181866163,7.468612312921195,-0.00147113105503216,True,True,0.0,0.6045293000061065,59
119,129,7.478426488982417,7.480095927688453,-0.001669438706035642,True,True,0.0,0.5229384999256581,59
120,130,7.459813262647984,7.461377453066969,-0.0015641904189855893,False,False,1.0,0.4795557999750599,59
121,131,7.427845755989401,7.428419477802855,-0.0005737218134536093,False,False,1.0,0.48909739998634905,59
122,132,7.479717618887095,7.48112571862996,-0.001408099742864266,True,True,0.0,0.5082387999864295,59
123,133,7.453144694437982,7.455363595268832,-0.002218900830849968,True,True,0.0,0.4936859000008553,59
124,134,7.507615264981468,7.506569505879073,0.0010457591023955715,True,True,0.0,0.5282780999550596,59
125,135,7.401399843718659,7.403542827525612,-0.0021429838069533247,True,True,0.0,0.47707729996182024,59
126,136,7.377881527665684,7.382599176484025,-0.004717648818340692,False,False,1.0,0.4839757999870926,59
127,137,7.468728137266021,7.470841836746434,-0.002113699480412734,True,True,0.0,0.456665400066413,59
128,138,7.477686571598081,7.47806090338832,-0.0003743317902387133,False,False,1.0,0.48342479998245835,59
129,139,7.4731279325926785,7.474158362358521,-0.0010304297658425554,False,False,1.0,0.49670320004224777,59
130,140,7.43953987334049,7.441541180262309,-0.0020013069218194346,True,True,0.0,0.5345671999966726,59
131,141,7.445382497380331,7.446173062080113,-0.0007905646997823368,True,True,0.0,0.5092139999615029,59
132,142,7.4173466847890985,7.419520137447192,-0.002173452658093211,True,True,0.0,0.4751592999091372,59
133,143,7.428828711308737,7.431691250455859,-0.0028625391471228667,True,True,0.0,0.5091390999732539,59
134,144,7.3925025501737585,7.396610460063091,-0.004107909889332184,True,True,0.0,0.49676339991856366,59
135,145,7.450981862531805,7.4459910512311325,0.004990811300672249,False,False,2.0,0.512778399977833,59
136,146,7.53403863362664,7.536001953104822,-0.0019633194781825125,True,True,0.0,0.5509889000095427,59
137,147,7.490598292644988,7.492425393810182,-0.0018271011651940228,True,True,0.0,0.6886271999683231,59
138,148,7.393786406086074,7.397160704544175,-0.0033742984581017765,True,True,0.0,0.4915179999079555,59
139,149,7.474613424145307,7.469433932819959,0.005179491325348451,False,False,2.0,0.5334032999817282,59
140,150,7.474738742822698,7.4776662505289035,-0.0029275077062056454,True,True,0.0,0.5066431999439374,59
141,151,7.480789696316204,7.4799641602484375,0.0008255360677669188,True,True,0.0,0.5910688999574631,72
142,152,7.552619213688938,7.555752384378605,-0.0031331706896677858,True,True,0.0,0.47773140005301684,59
143,153,7.503944915336115,7.504507361788475,-0.0005624464523599215,True,True,0.0,0.5163002000190318,59
144,154,7.459743233168657,7.463488189553814,-0.003744956385157039,True,True,0.0,0.5159870000788942,59
145,155,7.539941207111426,7.537269651632229,0.002671555479196286,False,False,2.0,0.49117000005207956,59
146,156,7.447209211402551,7.443231725785173,0.003977485617378207,False,False,2.0,0.520682799979113,59
147,157,7.435234577839113,7.429707566982852,0.005527010856260617,False,False,2.0,0.4919082000851631,59
148,158,7.438806186000843,7.440682208973572,-0.0018760229727288191,True,True,0.0,0.4988370999926701,59
149,159,7.486045604119573,7.487094717701828,-0.0010491135822547903,True,True,0.0,0.5263197999447584,59
150,160,7.505438820814909,7.50719143449378,-0.001752613678871029,False,False,1.0,0.5074295999947935,59
151,161,7.552620475075764,7.556618028971526,-0.003997553895762174,True,True,0.0,0.499194199917838,59
152,162,7.476811440898781,7.478126069889203,-0.0013146289904222286,False,False,1.0,0.4813900999724865,59
153,163,7.469438012765105,7.469779579046797,-0.0003415662816923515,True,True,0.0,0.4918124999385327,59
154,164,7.486488859733923,7.486665235927152,-0.00017637619322918852,True,True,0.0,0.5104985000798479,59
155,165,7.495778097490909,7.497549285619931,-0.0017711881290214393,True,True,0.0,0.49907599994912744,59
156,166,7.502443467869972,7.502453705151327,-1.0237281355074401e-05,True,True,0.0,0.632811599993147,59
157,167,7.492173421184891,7.4942822212227505,-0.002108800037859737,True,True,0.0,0.4774342000018805,59
158,168,7.512922776546132,7.507526807325863,0.005395969220268526,False,False,2.0,0.49888249998912215,59
159,169,7.55223827958413,7.556672800904996,-0.004434521320866303,True,True,0.0,0.49132529995404184,59
160,170,7.574854991812458,7.577253716364865,-0.0023987245524068612,True,True,0.0,0.4857985000126064,59
161,171,7.565170026060419,7.565413385198147,-0.00024335913772777218,True,True,0.0,0.4983148999745026,59
162,172,7.5395222688799155,7.542858434790867,-0.0033361659109516495,False,False,1.0,0.5298273999942467,59
163,173,7.496833792052505,7.497502440429885,-0.0006686483773803431,True,True,0.0,0.47307579999323934,59
164,174,7.431618439184707,7.43165043683384,-3.1997649132975425e-05,True,True,0.0,0.4684605000074953,59
165,175,7.53888510308566,7.542661720405086,-0.0037766173194260233,True,True,0.0,0.4988315999507904,59
166,176,7.4427595338562025,7.445515840085042,-0.002756306228839378,True,True,0.0,0.4795368000632152,59
167,177,7.570196239704671,7.570191381887698,4.857816973569129e-06,True,True,0.0,0.5350138999056071,59
168,178,7.578960116103978,7.583312410179955,-0.004352294075976815,True,True,0.0,0.5261421999894083,59
169,179,7.481924310389575,7.484106470094044,-0.002182159704469555,True,True,0.0,0.4972060000291094,59
170,180,7.558197560642871,7.559585538814021,-0.0013879781711505501,True,True,0.0,0.48589030001312494,59
171,181,7.558480903631745,7.561398659040737,-0.0029177554089923063,True,True,0.0,0.48033459996804595,59
172,182,7.400201059989826,7.402544804156829,-0.0023437441670033365,True,True,0.0,0.544473999994807,59
173,183,7.52077141132508,7.523516456749096,-0.0027450454240165456,False,False,1.0,0.5125582000473514,59
174,184,7.506087775230041,7.506242340771035,-0.0001545655409938007,False,False,2.0,0.4788346999557689,59
175,185,7.45185777958363,7.455757076657445,-0.003899297073814978,True,True,0.0,0.5279005999909714,59
176,186,7.499072763865298,7.502831780309661,-0.0037590164443628282,True,True,0.0,0.4880514999385923,59
177,187,7.527757473799135,7.530222345606376,-0.0024648718072404208,True,True,0.0,0.4784486999269575,59
178,188,7.469082816960056,7.46766286085159,0.001419956108466458,True,True,0.0,0.4798132999567315,59
179,189,7.439766167052972,7.438978737646625,0.0007874294063467957,True,True,0.0,0.4778395000612363,59
180,190,7.534575024611464,7.535997982214907,-0.0014229576034425762,True,True,0.0,0.49169440008699894,59
181,191,7.455969828591728,7.455051558979786,0.0009182696119420797,True,True,0.0,0.5284404000267386,59
182,192,7.526187017427299,7.527839154821148,-0.0016521373938491735,True,True,0.0,0.48586819996125996,59
183,193,7.482573465588601,7.486965377819612,-0.004391912231010764,True,True,0.0,0.5463387001072988,59
184,194,7.4403347380415825,7.442231559915944,-0.0018968218743617982,True,True,0.0,0.5192814000183716,59
185,195,7.442569403549677,7.447825260353014,-0.005255856803336734,True,True,0.0,0.4767604999942705,59
186,196,7.460526003798195,7.461457525336149,-0.0009315215379537278,True,True,0.0,0.6752440999262035,59
187,197,7.4602630167611075,7.466093749801406,-0.005830733040298242,True,True,0.0,0.6183630001032725,59
188,198,7.543155601605122,7.543770343684217,-0.0006147420790956204,True,True,0.0,0.4845951000461355,59
189,199,7.6111919797202585,7.612279062524976,-0.0010870828047178094,True,True,0.0,0.4920604999642819,59
190,200,7.48323318152635,7.486570142264677,-0.0033369607383271216,True,True,0.0,0.5202785000437871,59
191,201,7.428064824034033,7.43028198269749,-0.002217158663457397,False,False,1.0,0.4804580999771133,59
192,202,7.543394230113069,7.546364075456998,-0.0029698453439284123,True,True,0.0,0.6673911999678239,59
193,203,7.411423465241945,7.408145793663596,0.00327767157834824,False,False,2.0,0.4935822000261396,59
194,204,7.424283212689632,7.425836233222457,-0.0015530205328246893,True,True,0.0,0.600008700042963,59
195,205,7.482985055473534,7.4855080260564595,-0.002522970582925055,True,True,0.0,0.5090290000662208,59
196,206,7.554129847894716,7.552538510614573,0.0015913372801428238,True,True,0.0,0.6160929000470787,74
197,207,7.532745111894307,7.534581421677046,-0.0018363097827389652,True,True,0.0,0.5106891999021173,59
198,208,7.50705560196424,7.5079656391202505,-0.0009100371560109011,True,True,0.0,0.5197889000410214,59
199,209,7.525921348721733,7.529006011766068,-0.0030846630443353007,True,True,0.0,0.5265771000413224,59
